"date","start time","Task","Study","Duration (s)"
07/04/2020,20:08:53,code,study,0
07/04/2020,20:09:13,code,study,0
07/04/2020,20:10:23,code,study,10
07/04/2020,20:13:44,code,study,10
07/04/2020,20:15:18,code,study,3
07/04/2020,20:15:27,code,study,10
07/04/2020,20:15:27,code,study,0
07/04/2020,20:21:08,code,study,10
08/04/2020,08:44:22,code,study,6
08/04/2020,08:45:19,code,study,4
08/04/2020,08:47:33,code,study,5
08/04/2020,08:47:42,code,study,10
08/04/2020,09:04:38,code,study,8
08/04/2020,09:05:04,code,study,6
08/04/2020,09:07:24,code,study,10
08/04/2020,09:11:37,code,Label,4
08/04/2020,09:12:22,code,self study,5
08/04/2020,09:14:47,Task,Label,4
08/04/2020,09:15:14,TryTask1,self study,9
08/04/2020,09:16:00,Task,Label,2
08/04/2020,09:17:03,TestTask,TestLabel,277
08/04/2020,09:22:02,Task,Label,2
08/04/2020,09:24:23,Task,Label,14
08/04/2020,09:25:31,empytTask,emptyLabel,0
08/04/2020,09:25:44,,,3
08/04/2020,09:26:01,,,3
08/04/2020,09:26:14,,,2
08/04/2020,09:27:11,,,2
